GAME_ID,GAME_DATE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,HOME_PTS,AWAY_PTS,IS_FINAL,INGESTED_AT_UTC
0022501017,2026-03-20,3,Final,1610612765,1610612744,DET,GSW,115,101,True,2026-03-24T00:27:59.559725+00:00
0022501018,2026-03-20,3,Final,1610612745,1610612737,HOU,ATL,117,95,True,2026-03-24T00:27:59.559725+00:00
0022501019,2026-03-20,3,Final,1610612763,1610612738,MEM,BOS,112,117,True,2026-03-24T00:27:59.559725+00:00
0022501020,2026-03-20,3,Final,1610612750,1610612757,MIN,POR,104,108,True,2026-03-24T00:27:59.559725+00:00
0022501021,2026-03-20,3,Final,1610612743,1610612761,DEN,TOR,121,115,True,2026-03-24T00:27:59.559725+00:00
22501016,2026-03-20,1,7:30 pm ET,1610612751,1610612752,BKN,NYK,,,False,2026-03-13T21:45:25.046991+00:00
22501017,2026-03-20,1,7:30 pm ET,1610612765,1610612744,DET,GSW,,,False,2026-03-13T21:45:25.046991+00:00
22501018,2026-03-20,1,8:00 pm ET,1610612745,1610612737,HOU,ATL,,,False,2026-03-13T21:45:25.046991+00:00
22501019,2026-03-20,1,8:00 pm ET,1610612763,1610612738,MEM,BOS,,,False,2026-03-13T21:45:25.046991+00:00
22501020,2026-03-20,1,8:00 pm ET,1610612750,1610612757,MIN,POR,,,False,2026-03-13T21:45:25.046991+00:00
22501021,2026-03-20,1,9:00 pm ET,1610612743,1610612761,DEN,TOR,,,False,2026-03-13T21:45:25.046991+00:00
0022501022,2026-03-21,3,Final,1610612764,1610612760,WAS,OKC,111,132,True,2026-03-24T00:27:59.680256+00:00
0022501023,2026-03-21,3,Final,1610612766,1610612763,CHA,MEM,124,101,True,2026-03-24T00:27:59.680256+00:00
0022501024,2026-03-21,3,Final,1610612753,1610612747,ORL,LAL,104,105,True,2026-03-24T00:27:59.680256+00:00
0022501025,2026-03-21,3,Final,1610612740,1610612739,NOP,CLE,106,111,True,2026-03-24T00:27:59.680256+00:00
0022501026,2026-03-21,3,Final,1610612737,1610612744,ATL,GSW,126,110,True,2026-03-24T00:27:59.680256+00:00
0022501027,2026-03-21,3,Final,1610612745,1610612748,HOU,MIA,123,122,True,2026-03-24T00:27:59.680256+00:00
0022501028,2026-03-21,3,Final,1610612759,1610612754,SAS,IND,134,119,True,2026-03-24T00:27:59.680256+00:00
0022501029,2026-03-21,3,Final,1610612742,1610612746,DAL,LAC,131,138,True,2026-03-24T00:27:59.680256+00:00
0022501030,2026-03-21,3,Final,1610612762,1610612755,UTA,PHI,116,126,True,2026-03-24T00:27:59.680256+00:00
0022501031,2026-03-21,3,Final,1610612756,1610612749,PHX,MIL,105,108,True,2026-03-24T00:27:59.680256+00:00
22501022,2026-03-21,1,5:00 pm ET,1610612764,1610612760,WAS,OKC,,,False,2026-03-14T22:47:57.533760+00:00
22501023,2026-03-21,1,7:00 pm ET,1610612766,1610612763,CHA,MEM,,,False,2026-03-14T22:47:57.533760+00:00
22501024,2026-03-21,1,7:00 pm ET,1610612753,1610612747,ORL,LAL,,,False,2026-03-14T22:47:57.533760+00:00
22501025,2026-03-21,1,7:00 pm ET,1610612740,1610612739,NOP,CLE,,,False,2026-03-14T22:47:57.533760+00:00
22501026,2026-03-21,1,8:00 pm ET,1610612737,1610612744,ATL,GSW,,,False,2026-03-14T22:47:57.533760+00:00
22501027,2026-03-21,1,8:00 pm ET,1610612745,1610612748,HOU,MIA,,,False,2026-03-14T22:47:57.533760+00:00
22501028,2026-03-21,1,8:00 pm ET,1610612759,1610612754,SAS,IND,,,False,2026-03-14T22:47:57.533760+00:00
22501029,2026-03-21,1,8:30 pm ET,1610612742,1610612746,DAL,LAC,,,False,2026-03-14T22:47:57.533760+00:00
22501030,2026-03-21,1,9:30 pm ET,1610612762,1610612755,UTA,PHI,,,False,2026-03-14T22:47:57.533760+00:00
22501031,2026-03-21,1,10:00 pm ET,1610612756,1610612749,PHX,MIL,,,False,2026-03-14T22:47:57.533760+00:00
0022501032,2026-03-22,3,Final,1610612743,1610612757,DEN,POR,128,112,True,2026-03-24T00:27:59.776757+00:00
0022501033,2026-03-22,3,Final,1610612758,1610612751,SAC,BKN,126,122,True,2026-03-24T00:27:59.776757+00:00
0022501034,2026-03-22,3,Final,1610612752,1610612764,NYK,WAS,145,113,True,2026-03-24T00:27:59.776757+00:00
0022501035,2026-03-22,3,Final,1610612738,1610612750,BOS,MIN,92,102,True,2026-03-24T00:27:59.776757+00:00
0022501036,2026-03-22,3,Final,1610612756,1610612761,PHX,TOR,120,98,True,2026-03-24T00:27:59.776757+00:00
22501032,2026-03-22,1,5:00 pm ET,1610612743,1610612757,DEN,POR,,,False,2026-03-20T00:06:16.631321+00:00
22501033,2026-03-22,1,6:00 pm ET,1610612758,1610612751,SAC,BKN,,,False,2026-03-20T00:06:16.631321+00:00
22501034,2026-03-22,1,7:30 pm ET,1610612752,1610612764,NYK,WAS,,,False,2026-03-20T00:06:16.631321+00:00
22501035,2026-03-22,1,8:00 pm ET,1610612738,1610612750,BOS,MIN,,,False,2026-03-20T00:06:16.631321+00:00
22501036,2026-03-22,1,9:00 pm ET,1610612756,1610612761,PHX,TOR,,,False,2026-03-20T00:06:16.631321+00:00
0022501037,2026-03-23,2,1st Qtr             ,1610612737,1610612763,ATL,MEM,,,False,2026-03-24T00:27:59.820755+00:00
0022501038,2026-03-23,2,End of 1st Qtr      ,1610612765,1610612747,DET,LAL,,,False,2026-03-24T00:27:59.820755+00:00
0022501039,2026-03-23,2,End of 1st Qtr      ,1610612753,1610612754,ORL,IND,,,False,2026-03-24T00:27:59.820755+00:00
0022501040,2026-03-23,2,2nd Qtr             ,1610612755,1610612760,PHI,OKC,,,False,2026-03-24T00:27:59.820755+00:00
0022501041,2026-03-23,2,2nd Qtr             ,1610612748,1610612759,MIA,SAS,,,False,2026-03-24T00:27:59.820755+00:00
0022501042,2026-03-23,1,8:00 pm ET,1610612741,1610612745,CHI,HOU,,,False,2026-03-24T00:27:59.820755+00:00
0022501043,2026-03-23,1,9:00 pm ET,1610612762,1610612761,UTA,TOR,,,False,2026-03-24T00:27:59.820755+00:00
0022501044,2026-03-23,1,9:30 pm ET,1610612742,1610612744,DAL,GSW,,,False,2026-03-24T00:27:59.820755+00:00
0022501045,2026-03-23,1,10:00 pm ET,1610612757,1610612751,POR,BKN,,,False,2026-03-24T00:27:59.820755+00:00
0022501046,2026-03-23,1,10:30 pm ET,1610612746,1610612749,LAC,MIL,,,False,2026-03-24T00:27:59.820755+00:00
22501037,2026-03-23,1,7:30 pm ET,1610612737,1610612763,ATL,MEM,,,False,2026-03-20T00:06:16.745353+00:00
22501038,2026-03-23,1,7:00 pm ET,1610612765,1610612747,DET,LAL,,,False,2026-03-20T00:06:16.745353+00:00
22501039,2026-03-23,1,7:00 pm ET,1610612753,1610612754,ORL,IND,,,False,2026-03-20T00:06:16.745353+00:00
